fl_date,carrier,tail_num,leg_idx,origin,dest,distance_km,sched_dep_min,sched_arr_min,actual_dep_min,actual_arr_min,dep_delay,arr_delay,carryover_delay,turnaround_buffer,symbolic_state,symbolic_event
2026-09-09,SWA,N674SW,5,ORD,EWR,1154.23,1405,1535,1415,1544,10,9,10,49,ND,ORD:ND
2026-09-09,AAL,N919AA,1,LAX,EWR,3940.63,465,812,480,841,15,29,0,57,MD,LAX:MD
2026-09-09,AAL,N919AA,2,EWR,ATL,1198.39,898,1021,899,1041,1,20,1,64,MD,EWR:MD
2026-09-09,AAL,N919AA,3,ATL,BWI,927.2,1105,1219,1147,1282,42,63,5,54,SD,ATL:SD
2026-09-09,AAL,N919AA,4,BWI,CLT,580.67,1336,1421,1387,1489,51,68,28,62,SD,BWI:SD
2026-09-09,AAL,N919AA,5,CLT,MIA,1049.17,1551,1666,1628,1741,77,75,39,54,SD,CLT:SD
2026-09-09,SWA,N436SW,1,LAS,DFW,1694.7,497,667,532,702,35,35,4,41,MD,LAS:MD
2026-09-09,SWA,N436SW,2,DFW,BWI,1954.81,743,929,757,954,14,25,14,56,MD,DFW:MD
2026-09-09,SWA,N436SW,3,BWI,PHX,3209.54,1010,1304,1011,1307,1,3,1,62,ND,BWI:ND
2026-09-09,SWA,N436SW,4,PHX,MIA,3168.32,1369,1660,1399,1710,30,50,0,72,SD,PHX:SD
2026-09-09,SWA,N436SW,5,MIA,CLT,1049.17,1782,1908,1832,1972,50,64,29,52,SD,MIA:SD
2026-09-09,SWA,N101SW,1,BOS,IAH,2566.63,530,770,530,770,0,0,0,60,ND,BOS:ND
2026-09-09,SWA,N101SW,2,IAH,SFO,2627.7,830,1074,845,1094,15,20,0,72,MD,IAH:MD
2026-09-09,SWA,N101SW,3,SFO,PHX,1046.57,1166,1284,1166,1293,0,9,0,65,ND,SFO:ND
2026-09-09,SWA,N101SW,4,PHX,EWR,3424.67,1358,1660,1358,1682,0,22,0,52,MD,PHX:MD
2026-09-09,SWA,N101SW,5,EWR,ORD,1154.23,1734,1863,1743,1873,9,10,9,51,ND,EWR:ND
2026-09-09,SWA,N661SW,1,ATL,MCO,650.97,508,604,508,610,0,6,0,60,ND,ATL:ND
2026-09-09,SWA,N661SW,2,MCO,SLC,3103.38,670,949,670,969,0,20,0,72,MD,MCO:MD
2026-09-09,SWA,N661SW,3,SLC,SFO,962.09,1041,1147,1098,1217,57,70,14,45,SD,SLC:SD
2026-09-09,SWA,N661SW,4,SFO,EWR,4118.23,1262,1636,1311,1707,49,71,34,61,SD,SFO:SD
2026-09-09,SWA,N661SW,5,EWR,MIA,1749.72,1768,1939,1817,1986,49,47,37,59,SD,EWR:SD
2026-09-09,AAL,N125AA,1,ORD,SEA,2761.75,521,784,521,788,0,4,0,52,ND,ORD:ND
2026-09-09,AAL,N125AA,2,SEA,DTW,3092.66,840,1127,851,1150,11,23,0,65,MD,SEA:MD
2026-09-09,AAL,N125AA,3,DTW,DFW,1586.45,1215,1366,1230,1380,15,14,15,46,ND,DTW:ND
2026-09-09,AAL,N125AA,4,DFW,MSP,1372.59,1426,1565,1426,1574,0,9,0,73,ND,DFW:ND
2026-09-09,AAL,N125AA,5,MSP,SFO,2551.59,1647,1883,1651,1904,4,21,4,47,MD,MSP:MD
2026-09-09,SWA,N783SW,1,BOS,IAH,2566.63,500,744,502,753,2,9,2,50,ND,BOS:ND
2026-09-09,SWA,N783SW,2,IAH,CLT,1466.22,803,959,803,977,0,18,0,56,MD,IAH:MD
2026-09-09,SWA,N783SW,3,CLT,MSP,1496.28,1033,1197,1033,1205,0,8,0,57,ND,CLT:ND
2026-09-09,SWA,N783SW,4,MSP,EWR,1618.5,1262,1431,1273,1436,11,5,0,55,ND,MSP:ND
2026-09-09,SWA,N783SW,5,EWR,DTW,783.32,1491,1587,1527,1625,36,38,0,55,MD,EWR:MD
2026-09-09,DAL,N241DA,1,JFK,SEA,3886.59,466,814,466,819,0,5,0,61,ND,JFK:ND
2026-09-09,DAL,N241DA,2,SEA,MIA,4379.54,880,1256,880,1260,0,4,0,53,ND,SEA:ND
2026-09-09,DAL,N241DA,3,MIA,BWI,1525.57,1313,1478,1315,1496,2,18,2,41,MD,MIA:MD
2026-09-09,DAL,N241DA,4,BWI,SFO,3944.61,1537,1895,1537,1917,0,22,0,64,MD,BWI:MD
2026-09-09,DAL,N241DA,5,SFO,ORD,2964.02,1981,2254,1982,2274,1,20,1,59,MD,SFO:MD
2026-09-09,SWA,N651SW,1,IAH,SEA,3013.28,484,750,494,773,10,23,0,64,MD,IAH:MD
2026-09-09,SWA,N651SW,2,SEA,DTW,3092.66,837,1121,848,1153,11,32,11,50,MD,SEA:MD
2026-09-09,SWA,N651SW,3,DTW,SLC,2377.74,1203,1422,1217,1440,14,18,0,74,MD,DTW:MD
2026-09-09,SWA,N651SW,4,SLC,LAS,591.72,1514,1604,1546,1641,32,37,12,41,MD,SLC:MD
2026-09-09,SWA,N651SW,5,LAS,SFO,665.02,1682,1764,1705,1787,23,23,2,69,MD,LAS:MD
2026-09-09,SWA,N435SW,1,SFO,MSP,2551.59,467,704,467,719,0,15,0,45,MD,SFO:MD
2026-09-09,SWA,N435SW,2,MSP,CLT,1496.28,764,925,774,938,10,13,10,43,ND,MSP:ND
2026-09-09,SWA,N435SW,3,CLT,IAH,1466.22,981,1130,990,1151,9,21,9,44,MD,CLT:MD
2026-09-09,SWA,N435SW,4,IAH,MIA,1549.36,1195,1344,1210,1357,15,13,15,41,ND,IAH:ND
2026-09-09,SWA,N435SW,5,MIA,JFK,1756.9,1398,1563,1417,1589,19,26,5,49,MD,MIA:MD
2026-09-09,DAL,N677DA,1,SFO,MSP,2551.59,515,747,522,749,7,2,7,50,ND,SFO:ND
2026-09-09,DAL,N677DA,2,MSP,LAS,2087.72,799,1009,800,1020,1,11,1,41,ND,MSP:ND
2026-09-09,DAL,N677DA,3,LAS,PHX,411.31,1061,1130,1061,1130,0,0,0,65,ND,LAS:ND
2026-09-09,DAL,N677DA,4,PHX,LAX,594.56,1195,1269,1208,1298,13,29,0,55,MD,PHX:MD
2026-09-09,DAL,N677DA,5,LAX,MCO,3562.38,1353,1671,1371,1699,18,28,18,47,MD,LAX:MD
2026-09-09,DAL,N455DA,1,IAH,EWR,2249.22,467,686,467,689,0,3,0,46,ND,IAH:ND
2026-09-09,DAL,N455DA,2,EWR,PHX,3424.67,735,1053,735,1058,0,5,0,69,ND,EWR:ND
2026-09-09,DAL,N455DA,3,PHX,DFW,1393.44,1127,1268,1127,1268,0,0,0,73,ND,PHX:ND
2026-09-09,DAL,N455DA,4,DFW,CLT,1503.34,1341,1505,1341,1511,0,6,0,74,ND,DFW:ND
2026-09-09,DAL,N455DA,5,CLT,ATL,364.34,1585,1652,1593,1659,8,7,0,57,ND,CLT:ND
2026-09-09,DAL,N385DA,1,MSP,SEA,2244.65,486,700,495,712,9,12,9,51,ND,MSP:ND
2026-09-09,DAL,N385DA,2,SEA,BWI,3748.12,763,1095,807,1150,44,55,0,61,SD,SEA:SD
2026-09-09,DAL,N385DA,3,BWI,MIA,1525.57,1211,1366,1222,1399,11,33,9,75,MD,BWI:MD
2026-09-09,DAL,N385DA,4,MIA,CLT,1049.17,1474,1588,1516,1635,42,47,23,45,SD,MIA:SD
2026-09-09,DAL,N385DA,5,CLT,ATL,364.34,1680,1749,1683,1766,3,17,3,75,MD,CLT:MD
2026-09-09,SWA,N761SW,1,DTW,MSP,848.05,463,562,463,565,0,3,0,59,ND,DTW:ND
2026-09-09,SWA,N761SW,2,MSP,ATL,1459.62,624,780,624,785,0,5,0,75,ND,MSP:ND
2026-09-09,SWA,N761SW,3,ATL,DFW,1174.74,860,995,860,1001,0,6,0,61,ND,ATL:ND
2026-09-09,SWA,N761SW,4,DFW,MCO,1582.71,1062,1221,1073,1227,11,6,0,59,ND,DFW:ND
2026-09-09,SWA,N761SW,5,MCO,DEN,2486.1,1286,1515,1304,1542,18,27,0,60,MD,MCO:MD
2026-09-09,AAL,N296AA,1,SFO,DTW,3337.38,409,709,409,710,0,1,0,54,ND,SFO:ND
2026-09-09,AAL,N296AA,2,DTW,LAS,2807.85,764,1013,782,1024,18,11,0,74,ND,DTW:ND
2026-09-09,AAL,N296AA,3,LAS,BOS,3822.26,1098,1429,1104,1457,6,28,0,75,MD,LAS:MD
2026-09-09,AAL,N296AA,4,BOS,MCO,1805.67,1532,1705,1581,1746,49,41,0,71,MD,BOS:MD
2026-09-09,AAL,N296AA,5,MCO,ORD,1619.56,1817,1989,1833,2011,16,22,16,58,MD,MCO:MD
2026-09-09,UAL,N288UA,1,ORD,LAS,2431.39,485,706,526,764,41,58,3,43,SD,ORD:SD
2026-09-09,UAL,N288UA,2,LAS,DTW,2807.85,807,1074,879,1145,72,71,27,59,SD,LAS:SD
2026-09-09,UAL,N288UA,3,DTW,DEN,1802.36,1204,1376,1225,1408,21,32,21,75,MD,DTW:MD
2026-09-09,UAL,N288UA,4,DEN,DFW,1031.3,1483,1609,1497,1627,14,18,14,54,MD,DEN:MD
2026-09-09,UAL,N288UA,5,DFW,SFO,2352.0,1681,1908,1731,1968,50,60,0,68,SD,DFW:SD
2026-09-09,SWA,N412SW,1,SLC,ORD,2006.04,529,716,536,732,7,16,1,50,MD,SLC:MD
2026-09-09,SWA,N412SW,2,ORD,DEN,1426.0,782,923,802,949,20,26,6,50,MD,ORD:MD
2026-09-09,SWA,N412SW,3,DEN,SFO,1552.95,999,1167,1003,1170,4,3,0,70,ND,DEN:ND
2026-09-09,SWA,N412SW,4,SFO,BOS,4341.08,1240,1621,1240,1627,0,6,0,58,ND,SFO:ND
2026-09-09,SWA,N412SW,5,BOS,JFK,299.83,1685,1735,1685,1752,0,17,0,54,MD,BOS:MD
2026-09-09,AAL,N535AA,1,DEN,IAH,1386.79,396,533,416,554,20,21,0,43,MD,DEN:MD
2026-09-09,AAL,N535AA,2,IAH,SEA,3013.28,597,882,599,890,2,8,2,58,ND,IAH:ND
2026-09-09,AAL,N535AA,3,SEA,JFK,3886.59,948,1292,948,1300,0,8,0,65,ND,SEA:ND
2026-09-09,AAL,N535AA,4,JFK,LAS,3609.32,1365,1695,1365,1706,0,11,0,71,ND,JFK:ND
2026-09-09,AAL,N535AA,5,LAS,EWR,3575.53,1777,2089,1777,2100,0,11,0,67,ND,LAS:ND
2026-09-09,UAL,N126UA,1,DFW,SEA,2667.82,404,657,404,678,0,21,0,73,MD,DFW:MD
2026-09-09,UAL,N126UA,2,SEA,ATL,3504.75,751,1064,760,1078,9,14,9,51,ND,SEA:ND
2026-09-09,UAL,N126UA,3,ATL,LAS,2804.88,1129,1398,1129,1405,0,7,0,71,ND,ATL:ND
2026-09-09,UAL,N126UA,4,LAS,ORD,2431.39,1476,1706,1485,1728,9,22,0,66,MD,LAS:MD
2026-09-09,UAL,N126UA,5,ORD,MIA,1929.51,1794,1976,1821,2017,27,41,10,50,MD,ORD:MD
2026-09-09,SWA,N395SW,1,MIA,IAH,1549.36,424,582,424,586,0,4,0,47,ND,MIA:ND
2026-09-09,SWA,N395SW,2,IAH,ORD,1489.35,633,793,635,804,2,11,2,40,ND,IAH:ND
2026-09-09,SWA,N395SW,3,ORD,MSP,537.35,844,925,890,979,46,54,0,66,SD,ORD:SD
2026-09-09,SWA,N395SW,4,MSP,DFW,1372.59,1045,1190,1057,1218,12,28,12,71,MD,MSP:MD
2026-09-09,SWA,N395SW,5,DFW,LAX,1982.96,1289,1473,1330,1510,41,37,12,53,MD,DFW:MD
2026-09-09,UAL,N548UA,1,DTW,DEN,1802.36,501,670,501,670,0,0,0,75,ND,DTW:ND
2026-09-09,UAL,N548UA,2,DEN,ATL,1926.35,745,927,745,939,0,12,0,69,ND,DEN:ND
2026-09-09,UAL,N548UA,3,ATL,SEA,3504.75,1008,1317,1008,1318,0,1,0,71,ND,ATL:ND
2026-09-09,UAL,N548UA,4,SEA,LAX,1537.13,1389,1552,1389,1559,0,7,0,57,ND,SEA:ND
2026-09-09,UAL,N548UA,5,LAX,JFK,3974.34,1616,1973,1616,1973,0,0,0,55,ND,LAX:ND
2026-09-09,SWA,N295SW,1,BWI,BOS,593.84,466,548,470,548,4,0,0,72,ND,BWI:ND
2026-09-09,SWA,N295SW,2,BOS,JFK,299.83,620,677,620,687,0,10,0,59,ND,BOS:ND
2026-09-09,SWA,N295SW,3,JFK,DFW,2235.03,746,964,749,974,3,10,3,49,ND,JFK:ND
2026-09-09,SWA,N295SW,4,DFW,LAS,1694.7,1023,1194,1023,1203,0,9,0,61,ND,DFW:ND
2026-09-09,SWA,N295SW,5,LAS,MIA,3494.55,1264,1580,1264,1599,0,19,0,69,MD,LAS:MD
2026-09-09,AAL,N814AA,1,SEA,SLC,1106.6,441,569,441,582,0,13,0,64,ND,SEA:ND
2026-09-09,AAL,N814AA,2,SLC,MIA,3357.7,646,959,651,959,5,0,5,49,ND,SLC:ND
2026-09-09,AAL,N814AA,3,MIA,BWI,1525.57,1008,1159,1008,1161,0,2,0,72,ND,MIA:ND
2026-09-09,AAL,N814AA,4,BWI,EWR,271.19,1233,1282,1275,1345,42,63,0,68,SD,BWI:SD
2026-09-09,AAL,N814AA,5,EWR,ATL,1198.39,1413,1547,1458,1597,45,50,45,40,SD,EWR:SD
2026-09-09,AAL,N176AA,1,DTW,LAS,2807.85,444,710,444,722,0,12,0,64,ND,DTW:ND
2026-09-09,AAL,N176AA,2,LAS,CLT,3076.67,786,1072,814,1094,28,22,0,74,MD,LAS:MD
2026-09-09,AAL,N176AA,3,CLT,MIA,1049.17,1168,1283,1170,1300,2,17,2,58,MD,CLT:MD
2026-09-09,AAL,N176AA,4,MIA,DFW,1802.65,1358,1529,1358,1545,0,16,0,67,MD,MIA:MD
2026-09-09,AAL,N176AA,5,DFW,EWR,2204.25,1612,1833,1622,1857,10,24,10,46,MD,DFW:MD
2026-09-09,UAL,N129UA,1,ORD,CLT,964.31,470,576,470,586,0,10,0,55,ND,ORD:ND
2026-09-09,UAL,N129UA,2,CLT,BWI,580.67,641,717,687,774,46,57,2,50,SD,CLT:SD
2026-09-09,UAL,N129UA,3,BWI,MCO,1268.78,824,962,855,1003,31,41,31,55,MD,BWI:MD
2026-09-09,UAL,N129UA,4,MCO,PHX,2969.54,1058,1324,1078,1344,20,20,20,54,MD,MCO:MD
2026-09-09,UAL,N129UA,5,PHX,LAX,594.56,1398,1484,1401,1507,3,23,3,56,MD,PHX:MD
2026-09-09,SWA,N394SW,1,IAH,LAX,2215.34,436,658,436,664,0,6,0,67,ND,IAH:ND
2026-09-09,SWA,N394SW,2,LAX,DFW,1982.96,731,923,731,942,0,19,0,52,MD,LAX:MD
2026-09-09,SWA,N394SW,3,DFW,MSP,1372.59,994,1143,1028,1187,34,44,12,46,MD,DFW:MD
2026-09-09,SWA,N394SW,4,MSP,PHX,2051.64,1233,1433,1251,1452,18,19,18,58,MD,MSP:MD
2026-09-09,SWA,N394SW,5,PHX,MCO,2969.54,1510,1772,1515,1787,5,15,0,65,MD,PHX:MD
2026-09-09,DAL,N720DA,1,DTW,MCO,1543.9,408,575,408,590,0,15,0,56,MD,DTW:MD
2026-09-09,DAL,N720DA,2,MCO,SEA,4104.64,646,1003,655,1024,9,21,9,46,MD,MCO:MD
2026-09-09,DAL,N720DA,3,SEA,PHX,1781.91,1070,1238,1071,1238,1,0,1,59,ND,SEA:ND
2026-09-09,DAL,N720DA,4,PHX,IAH,1621.03,1297,1469,1297,1469,0,0,0,63,ND,PHX:ND
2026-09-09,DAL,N720DA,5,IAH,CLT,1466.22,1532,1683,1532,1683,0,0,0,60,ND,IAH:ND
2026-09-09,AAL,N235AA,1,IAH,PHX,1621.03,402,564,402,565,0,1,0,70,ND,IAH:ND
2026-09-09,AAL,N235AA,2,PHX,BOS,3693.22,635,965,635,965,0,0,0,47,ND,PHX:ND
2026-09-09,AAL,N235AA,3,BOS,BWI,593.84,1012,1088,1012,1103,0,15,0,54,MD,BOS:MD
2026-09-09,AAL,N235AA,4,BWI,LAS,3381.13,1157,1464,1157,1481,0,17,0,75,MD,BWI:MD
2026-09-09,AAL,N235AA,5,LAS,EWR,3575.53,1556,1879,1577,1895,21,16,12,40,MD,LAS:MD
2026-09-09,SWA,N477SW,1,LAS,SLC,591.72,419,506,421,530,2,24,2,41,MD,LAS:MD
2026-09-09,SWA,N477SW,2,SLC,MIA,3357.7,571,881,573,882,2,1,2,60,ND,SLC:ND
2026-09-09,SWA,N477SW,3,MIA,PHX,3168.32,942,1240,942,1246,0,6,0,44,ND,MIA:ND
2026-09-09,SWA,N477SW,4,PHX,DEN,967.86,1290,1401,1296,1401,6,0,0,66,ND,PHX:ND
2026-09-09,SWA,N477SW,5,DEN,CLT,2148.18,1467,1664,1467,1664,0,0,0,59,ND,DEN:ND
2026-09-09,DAL,N340DA,1,IAH,JFK,2277.28,538,762,538,777,0,15,0,66,MD,IAH:MD
2026-09-09,DAL,N340DA,2,JFK,MIA,1756.9,843,1012,843,1030,0,18,0,66,MD,JFK:MD
2026-09-09,DAL,N340DA,3,MIA,MSP,2418.24,1096,1329,1096,1329,0,0,0,66,ND,MIA:ND
2026-09-09,DAL,N340DA,4,MSP,PHX,2051.64,1395,1585,1403,1599,8,14,0,63,ND,MSP:ND
2026-09-09,DAL,N340DA,5,PHX,CLT,2848.18,1662,1921,1680,1952,18,31,0,63,MD,PHX:MD
2026-09-09,UAL,N657UA,1,PHX,ORD,2312.89,476,688,476,699,0,11,0,53,ND,PHX:ND
2026-09-09,UAL,N657UA,2,ORD,MIA,1929.51,752,931,759,937,7,6,7,43,ND,ORD:ND
2026-09-09,UAL,N657UA,3,MIA,LAS,3494.55,980,1288,999,1323,19,35,0,53,MD,MIA:MD
2026-09-09,UAL,N657UA,4,LAS,SFO,665.02,1376,1471,1393,1506,17,35,17,53,MD,LAS:MD
2026-09-09,UAL,N657UA,5,SFO,SLC,962.09,1559,1667,1568,1693,9,26,9,61,MD,SFO:MD
2026-09-09,DAL,N383DA,1,JFK,BWI,295.51,529,577,560,625,31,48,0,48,SD,JFK:SD
2026-09-09,DAL,N383DA,2,BWI,IAH,1985.05,673,863,786,976,113,113,19,60,CD,BWI:CD
2026-09-09,DAL,N383DA,3,IAH,LAS,1963.17,1036,1219,1114,1305,78,86,78,48,SD,IAH:SD
2026-09-09,DAL,N383DA,4,LAS,LAX,380.24,1353,1411,1414,1488,61,77,61,44,SD,LAS:SD
2026-09-09,DAL,N383DA,5,LAX,ORD,2801.93,1532,1792,1560,1826,28,34,28,72,MD,LAX:MD
2026-09-09,AAL,N729AA,1,ORD,BOS,1390.98,482,630,482,637,0,7,0,67,ND,ORD:ND
2026-09-09,AAL,N729AA,2,BOS,MCO,1805.67,704,887,709,894,5,7,5,44,ND,BOS:ND
2026-09-09,AAL,N729AA,3,MCO,MSP,2110.58,938,1150,959,1171,21,21,1,49,MD,MCO:MD
2026-09-09,AAL,N729AA,4,MSP,ATL,1459.62,1220,1380,1220,1384,0,4,0,75,ND,MSP:ND
2026-09-09,AAL,N729AA,5,ATL,DTW,958.15,1459,1579,1466,1594,7,15,0,73,MD,ATL:MD
2026-09-09,SWA,N201SW,1,DEN,IAH,1386.79,418,566,418,570,0,4,0,61,ND,DEN:ND
2026-09-09,SWA,N201SW,2,IAH,SFO,2627.7,631,879,660,910,29,31,1,46,MD,IAH:MD
